country,institute_type,direct_expenditure_type,year,expenditure
"Korea, Republic of",All Institutions ,Private,1995,
Luxembourg,All Institutions ,Private,1995,
Mexico,All Institutions ,Private,1995,
Netherlands,All Institutions ,Private,1995,
New Zealand,All Institutions ,Private,1995,
Norway,All Institutions ,Private,1995,
Poland,All Institutions ,Private,1995,
Portugal,All Institutions ,Private,1995,
Slovak Republic,All Institutions ,Private,1995,
Slovenia,All Institutions ,Private,1995,
Spain,All Institutions ,Private,1995,
Sweden,All Institutions ,Private,1995,
Switzerland,All Institutions ,Private,1995,
Turkey,All Institutions ,Private,1995,
United Kingdom,All Institutions ,Private,1995,
United States,All Institutions ,Private,1995,
  Brazil,All Institutions ,Private,1995,
  Russian Federation,All Institutions ,Private,1995,
OECD Average,Elementary and Secondary Institutions ,Private,1995,
Australia,Elementary and Secondary Institutions ,Private,1995,
Austria,Elementary and Secondary Institutions ,Private,1995,
Belgium,Elementary and Secondary Institutions ,Private,1995,
Canada,Elementary and Secondary Institutions ,Private,1995,
Chile,Elementary and Secondary Institutions ,Private,1995,
Czech Republic,Elementary and Secondary Institutions ,Private,1995,
Denmark,Elementary and Secondary Institutions ,Private,1995,
Estonia,Elementary and Secondary Institutions ,Private,1995,
Finland,Elementary and Secondary Institutions ,Private,1995,
France,Elementary and Secondary Institutions ,Private,1995,
Germany,Elementary and Secondary Institutions ,Private,1995,
Greece,Elementary and Secondary Institutions ,Private,1995,
Hungary,Elementary and Secondary Institutions ,Private,1995,
Iceland,Elementary and Secondary Institutions ,Private,1995,
Ireland,Elementary and Secondary Institutions ,Private,1995,
Israel,Elementary and Secondary Institutions ,Private,1995,
Italy,Elementary and Secondary Institutions ,Private,1995,
Japan,Elementary and Secondary Institutions ,Private,1995,
"Korea, Republic of",Elementary and Secondary Institutions ,Private,1995,
Luxembourg,Elementary and Secondary Institutions ,Private,1995,
Mexico,Elementary and Secondary Institutions ,Private,1995,
Netherlands,Elementary and Secondary Institutions ,Private,1995,
New Zealand,Elementary and Secondary Institutions ,Private,1995,
Norway,Elementary and Secondary Institutions ,Private,1995,
Poland,Elementary and Secondary Institutions ,Private,1995,
Portugal,Elementary and Secondary Institutions ,Private,1995,
Slovak Republic,Elementary and Secondary Institutions ,Private,1995,
Slovenia,Elementary and Secondary Institutions ,Private,1995,
Spain,Elementary and Secondary Institutions ,Private,1995,
Sweden,Elementary and Secondary Institutions ,Private,1995,
Switzerland,Elementary and Secondary Institutions ,Private,1995,
Turkey,Elementary and Secondary Institutions ,Private,1995,
United Kingdom,Elementary and Secondary Institutions ,Private,1995,
United States,Elementary and Secondary Institutions ,Private,1995,
  Brazil,Elementary and Secondary Institutions ,Private,1995,
  Russian Federation,Elementary and Secondary Institutions ,Private,1995,
OECD Average,Higher Education Institutions ,Private,1995,
Australia,Higher Education Institutions ,Private,1995,
Austria,Higher Education Institutions ,Private,1995,
Belgium,Higher Education Institutions ,Private,1995,
Canada,Higher Education Institutions ,Private,1995,
Chile,Higher Education Institutions ,Private,1995,
Czech Republic,Higher Education Institutions ,Private,1995,
Denmark,Higher Education Institutions ,Private,1995,
Estonia,Higher Education Institutions ,Private,1995,
Finland,Higher Education Institutions ,Private,1995,
France,Higher Education Institutions ,Private,1995,
Germany,Higher Education Institutions ,Private,1995,
Greece,Higher Education Institutions ,Private,1995,
Hungary,Higher Education Institutions ,Private,1995,
Iceland,Higher Education Institutions ,Private,1995,
Ireland,Higher Education Institutions ,Private,1995,
Israel,Higher Education Institutions ,Private,1995,
Italy,Higher Education Institutions ,Private,1995,
Japan,Higher Education Institutions ,Private,1995,
"Korea, Republic of",Higher Education Institutions ,Private,1995,
Luxembourg,Higher Education Institutions ,Private,1995,
Mexico,Higher Education Institutions ,Private,1995,
Netherlands,Higher Education Institutions ,Private,1995,
New Zealand,Higher Education Institutions ,Private,1995,
Norway,Higher Education Institutions ,Private,1995,
Poland,Higher Education Institutions ,Private,1995,
Portugal,Higher Education Institutions ,Private,1995,
Slovak Republic,Higher Education Institutions ,Private,1995,
Slovenia,Higher Education Institutions ,Private,1995,
Spain,Higher Education Institutions ,Private,1995,
Sweden,Higher Education Institutions ,Private,1995,
Switzerland,Higher Education Institutions ,Private,1995,
Turkey,Higher Education Institutions ,Private,1995,
United Kingdom,Higher Education Institutions ,Private,1995,
United States,Higher Education Institutions ,Private,1995,
  Brazil,Higher Education Institutions ,Private,1995,
  Russian Federation,Higher Education Institutions ,Private,1995,
OECD Average,All Institutions ,Total,1995,
Australia,All Institutions ,Total,1995,
Austria,All Institutions ,Total,1995,
Belgium,All Institutions ,Total,1995,
Canada,All Institutions ,Total,1995,
Chile,All Institutions ,Total,1995,
Czech Republic,All Institutions ,Total,1995,
Denmark,All Institutions ,Total,1995,
Estonia,All Institutions ,Total,1995,
Finland,All Institutions ,Total,1995,
France,All Institutions ,Total,1995,
Germany,All Institutions ,Total,1995,
Greece,All Institutions ,Total,1995,
Hungary,All Institutions ,Total,1995,
Iceland,All Institutions ,Total,1995,
Ireland,All Institutions ,Total,1995,
Israel,All Institutions ,Total,1995,
Italy,All Institutions ,Total,1995,
Japan,All Institutions ,Total,1995,
"Korea, Republic of",All Institutions ,Total,1995,
Luxembourg,All Institutions ,Total,1995,
Mexico,All Institutions ,Total,1995,
Netherlands,All Institutions ,Total,1995,
New Zealand,All Institutions ,Total,1995,
Norway,All Institutions ,Total,1995,
Poland,All Institutions ,Total,1995,
Portugal,All Institutions ,Total,1995,
Slovak Republic,All Institutions ,Total,1995,
Slovenia,All Institutions ,Total,1995,
Spain,All Institutions ,Total,1995,
Sweden,All Institutions ,Total,1995,
Switzerland,All Institutions ,Total,1995,
Turkey,All Institutions ,Total,1995,
United Kingdom,All Institutions ,Total,1995,
United States,All Institutions ,Total,1995,
  Brazil,All Institutions ,Total,1995,
  Russian Federation,All Institutions ,Total,1995,
OECD Average,Elementary and Secondary Institutions ,Total,1995,
Australia,Elementary and Secondary Institutions ,Total,1995,
Austria,Elementary and Secondary Institutions ,Total,1995,
Belgium,Elementary and Secondary Institutions ,Total,1995,
Canada,Elementary and Secondary Institutions ,Total,1995,
Chile,Elementary and Secondary Institutions ,Total,1995,
Czech Republic,Elementary and Secondary Institutions ,Total,1995,
Denmark,Elementary and Secondary Institutions ,Total,1995,
Estonia,Elementary and Secondary Institutions ,Total,1995,
Finland,Elementary and Secondary Institutions ,Total,1995,
France,Elementary and Secondary Institutions ,Total,1995,
Germany,Elementary and Secondary Institutions ,Total,1995,
Greece,Elementary and Secondary Institutions ,Total,1995,
Hungary,Elementary and Secondary Institutions ,Total,1995,
Iceland,Elementary and Secondary Institutions ,Total,1995,
Ireland,Elementary and Secondary Institutions ,Total,1995,
Israel,Elementary and Secondary Institutions ,Total,1995,
Italy,Elementary and Secondary Institutions ,Total,1995,
Japan,Elementary and Secondary Institutions ,Total,1995,
"Korea, Republic of",Elementary and Secondary Institutions ,Total,1995,
Luxembourg,Elementary and Secondary Institutions ,Total,1995,
Mexico,Elementary and Secondary Institutions ,Total,1995,
Netherlands,Elementary and Secondary Institutions ,Total,1995,
New Zealand,Elementary and Secondary Institutions ,Total,1995,
Norway,Elementary and Secondary Institutions ,Total,1995,
Poland,Elementary and Secondary Institutions ,Total,1995,
Portugal,Elementary and Secondary Institutions ,Total,1995,
Slovak Republic,Elementary and Secondary Institutions ,Total,1995,
Slovenia,Elementary and Secondary Institutions ,Total,1995,
Spain,Elementary and Secondary Institutions ,Total,1995,
Sweden,Elementary and Secondary Institutions ,Total,1995,
Switzerland,Elementary and Secondary Institutions ,Total,1995,
Turkey,Elementary and Secondary Institutions ,Total,1995,
United Kingdom,Elementary and Secondary Institutions ,Total,1995,
United States,Elementary and Secondary Institutions ,Total,1995,
  Brazil,Elementary and Secondary Institutions ,Total,1995,
  Russian Federation,Elementary and Secondary Institutions ,Total,1995,
OECD Average,Higher Education Institutions ,Total,1995,
Australia,Higher Education Institutions ,Total,1995,
Austria,Higher Education Institutions ,Total,1995,
Belgium,Higher Education Institutions ,Total,1995,
Canada,Higher Education Institutions ,Total,1995,
Chile,Higher Education Institutions ,Total,1995,
Czech Republic,Higher Education Institutions ,Total,1995,
Denmark,Higher Education Institutions ,Total,1995,
Estonia,Higher Education Institutions ,Total,1995,
Finland,Higher Education Institutions ,Total,1995,
France,Higher Education Institutions ,Total,1995,
Germany,Higher Education Institutions ,Total,1995,
Greece,Higher Education Institutions ,Total,1995,
Hungary,Higher Education Institutions ,Total,1995,
Iceland,Higher Education Institutions ,Total,1995,
Ireland,Higher Education Institutions ,Total,1995,
Israel,Higher Education Institutions ,Total,1995,
Italy,Higher Education Institutions ,Total,1995,
Japan,Higher Education Institutions ,Total,1995,
"Korea, Republic of",Higher Education Institutions ,Total,1995,
Luxembourg,Higher Education Institutions ,Total,1995,
Mexico,Higher Education Institutions ,Total,1995,
Netherlands,Higher Education Institutions ,Total,1995,
New Zealand,Higher Education Institutions ,Total,1995,
Norway,Higher Education Institutions ,Total,1995,
Poland,Higher Education Institutions ,Total,1995,
Portugal,Higher Education Institutions ,Total,1995,
Slovak Republic,Higher Education Institutions ,Total,1995,
Slovenia,Higher Education Institutions ,Total,1995,
Spain,Higher Education Institutions ,Total,1995,
Sweden,Higher Education Institutions ,Total,1995,
Switzerland,Higher Education Institutions ,Total,1995,
Turkey,Higher Education Institutions ,Total,1995,
United Kingdom,Higher Education Institutions ,Total,1995,
United States,Higher Education Institutions ,Total,1995,
  Brazil,Higher Education Institutions ,Total,1995,
  Russian Federation,Higher Education Institutions ,Total,1995,
OECD Average,All Institutions ,Public,2000,4.9
Australia,All Institutions ,Public,2000,4.6
Austria,All Institutions ,Public,2000,5.4
Belgium,All Institutions ,Public,2000,5.1
Canada,All Institutions ,Public,2000,5.2
Chile,All Institutions ,Public,2000,4.2
Czech Republic,All Institutions ,Public,2000,4.2
Denmark,All Institutions ,Public,2000,6.4
Estonia,All Institutions ,Public,2000,
Finland,All Institutions ,Public,2000,5.5
France,All Institutions ,Public,2000,5.7
Germany,All Institutions ,Public,2000,4.3
Greece,All Institutions ,Public,2000,3.7
Hungary,All Institutions ,Public,2000,4.4
Iceland,All Institutions ,Public,2000,5.7
Ireland,All Institutions ,Public,2000,4.1
Israel,All Institutions ,Public,2000,6.6
Italy,All Institutions ,Public,2000,4.5
Japan,All Institutions ,Public,2000,3.5
"Korea, Republic of",All Institutions ,Public,2000,4.3
Luxembourg,All Institutions ,Public,2000,
Mexico,All Institutions ,Public,2000,4.7
Netherlands,All Institutions ,Public,2000,4.3
New Zealand,All Institutions ,Public,2000,5.8
Norway,All Institutions ,Public,2000,5.8
Poland,All Institutions ,Public,2000,5.2
Portugal,All Institutions ,Public,2000,5.6
Slovak Republic,All Institutions ,Public,2000,4.0
Slovenia,All Institutions ,Public,2000,
Spain,All Institutions ,Public,2000,4.3
Sweden,All Institutions ,Public,2000,6.3
Switzerland,All Institutions ,Public,2000,5.3
Turkey,All Institutions ,Public,2000,3.4
United Kingdom,All Institutions ,Public,2000,4.5
United States,All Institutions ,Public,2000,4.6
  Brazil,All Institutions ,Public,2000,
  Russian Federation,All Institutions ,Public,2000,3.0
OECD Average,Elementary and Secondary Institutions ,Public,2000,3.4
Australia,Elementary and Secondary Institutions ,Public,2000,3.7
Austria,Elementary and Secondary Institutions ,Public,2000,3.7
Belgium,Elementary and Secondary Institutions ,Public,2000,3.4
Canada,Elementary and Secondary Institutions ,Public,2000,3.3
Chile,Elementary and Secondary Institutions ,Public,2000,3.2
Czech Republic,Elementary and Secondary Institutions ,Public,2000,2.8
Denmark,Elementary and Secondary Institutions ,Public,2000,4.1
Estonia,Elementary and Secondary Institutions ,Public,2000,
Finland,Elementary and Secondary Institutions ,Public,2000,3.5
France,Elementary and Secondary Institutions ,Public,2000,4.0
Germany,Elementary and Secondary Institutions ,Public,2000,2.9
Greece,Elementary and Secondary Institutions ,Public,2000,2.7
Hungary,Elementary and Secondary Institutions ,Public,2000,2.8
Iceland,Elementary and Secondary Institutions ,Public,2000,4.6
Ireland,Elementary and Secondary Institutions ,Public,2000,2.9
Israel,Elementary and Secondary Institutions ,Public,2000,4.5
Italy,Elementary and Secondary Institutions ,Public,2000,3.2
Japan,Elementary and Secondary Institutions ,Public,2000,2.7
"Korea, Republic of",Elementary and Secondary Institutions ,Public,2000,3.3
Luxembourg,Elementary and Secondary Institutions ,Public,2000,
Mexico,Elementary and Secondary Institutions ,Public,2000,3.3
Netherlands,Elementary and Secondary Institutions ,Public,2000,3.0
New Zealand,Elementary and Secondary Institutions ,Public,2000,4.6
Norway,Elementary and Secondary Institutions ,Public,2000,3.6
Poland,Elementary and Secondary Institutions ,Public,2000,3.7
Portugal,Elementary and Secondary Institutions ,Public,2000,4.1
Slovak Republic,Elementary and Secondary Institutions ,Public,2000,2.7
Slovenia,Elementary and Secondary Institutions ,Public,2000,
Spain,Elementary and Secondary Institutions ,Public,2000,3.1
Sweden,Elementary and Secondary Institutions ,Public,2000,4.4
Switzerland,Elementary and Secondary Institutions ,Public,2000,3.8
Turkey,Elementary and Secondary Institutions ,Public,2000,2.4
United Kingdom,Elementary and Secondary Institutions ,Public,2000,3.4
United States,Elementary and Secondary Institutions ,Public,2000,3.5
  Brazil,Elementary and Secondary Institutions ,Public,2000,
  Russian Federation,Elementary and Secondary Institutions ,Public,2000,1.7
OECD Average,Higher Education Institutions ,Public,2000,1.0
Australia,Higher Education Institutions ,Public,2000,0.8
Austria,Higher Education Institutions ,Public,2000,1.2
Belgium,Higher Education Institutions ,Public,2000,1.2
Canada,Higher Education Institutions ,Public,2000,1.6
Chile,Higher Education Institutions ,Public,2000,0.6
Czech Republic,Higher Education Institutions ,Public,2000,0.8
Denmark,Higher Education Institutions ,Public,2000,1.5
Estonia,Higher Education Institutions ,Public,2000,
Finland,Higher Education Institutions ,Public,2000,1.7
France,Higher Education Institutions ,Public,2000,1.0
Germany,Higher Education Institutions ,Public,2000,1.0
Greece,Higher Education Institutions ,Public,2000,0.9
Hungary,Higher Education Institutions ,Public,2000,0.9
Iceland,Higher Education Institutions ,Public,2000,0.8
Ireland,Higher Education Institutions ,Public,2000,1.2
Israel,Higher Education Institutions ,Public,2000,1.1
Italy,Higher Education Institutions ,Public,2000,0.7
Japan,Higher Education Institutions ,Public,2000,0.5
"Korea, Republic of",Higher Education Institutions ,Public,2000,0.6
Luxembourg,Higher Education Institutions ,Public,2000,
Mexico,Higher Education Institutions ,Public,2000,0.8
Netherlands,Higher Education Institutions ,Public,2000,1.0
New Zealand,Higher Education Institutions ,Public,2000,0.9
Norway,Higher Education Institutions ,Public,2000,1.2
Poland,Higher Education Institutions ,Public,2000,0.8
Portugal,Higher Education Institutions ,Public,2000,1.0
Slovak Republic,Higher Education Institutions ,Public,2000,0.7
Slovenia,Higher Education Institutions ,Public,2000,
Spain,Higher Education Institutions ,Public,2000,0.9
Sweden,Higher Education Institutions ,Public,2000,1.5
Switzerland,Higher Education Institutions ,Public,2000,1.2
Turkey,Higher Education Institutions ,Public,2000,1.0
United Kingdom,Higher Education Institutions ,Public,2000,0.7
United States,Higher Education Institutions ,Public,2000,0.8
  Brazil,Higher Education Institutions ,Public,2000,
  Russian Federation,Higher Education Institutions ,Public,2000,0.5
OECD Average,All Institutions ,Private,2000,
Australia,All Institutions ,Private,2000,
Austria,All Institutions ,Private,2000,
Belgium,All Institutions ,Private,2000,
Canada,All Institutions ,Private,2000,
Chile,All Institutions ,Private,2000,
Czech Republic,All Institutions ,Private,2000,
Denmark,All Institutions ,Private,2000,
Estonia,All Institutions ,Private,2000,
Finland,All Institutions ,Private,2000,
France,All Institutions ,Private,2000,
Germany,All Institutions ,Private,2000,
Greece,All Institutions ,Private,2000,
Hungary,All Institutions ,Private,2000,
Iceland,All Institutions ,Private,2000,
Ireland,All Institutions ,Private,2000,
Israel,All Institutions ,Private,2000,
Italy,All Institutions ,Private,2000,
Japan,All Institutions ,Private,2000,
"Korea, Republic of",All Institutions ,Private,2000,
Luxembourg,All Institutions ,Private,2000,
Mexico,All Institutions ,Private,2000,
Netherlands,All Institutions ,Private,2000,
New Zealand,All Institutions ,Private,2000,
Norway,All Institutions ,Private,2000,
Poland,All Institutions ,Private,2000,
Portugal,All Institutions ,Private,2000,
Slovak Republic,All Institutions ,Private,2000,
Slovenia,All Institutions ,Private,2000,
Spain,All Institutions ,Private,2000,
Sweden,All Institutions ,Private,2000,
Switzerland,All Institutions ,Private,2000,
Turkey,All Institutions ,Private,2000,
United Kingdom,All Institutions ,Private,2000,
United States,All Institutions ,Private,2000,
  Brazil,All Institutions ,Private,2000,
  Russian Federation,All Institutions ,Private,2000,
OECD Average,Elementary and Secondary Institutions ,Private,2000,
Australia,Elementary and Secondary Institutions ,Private,2000,
Austria,Elementary and Secondary Institutions ,Private,2000,
Belgium,Elementary and Secondary Institutions ,Private,2000,
Canada,Elementary and Secondary Institutions ,Private,2000,
Chile,Elementary and Secondary Institutions ,Private,2000,
Czech Republic,Elementary and Secondary Institutions ,Private,2000,
Denmark,Elementary and Secondary Institutions ,Private,2000,
Estonia,Elementary and Secondary Institutions ,Private,2000,
Finland,Elementary and Secondary Institutions ,Private,2000,
France,Elementary and Secondary Institutions ,Private,2000,
Germany,Elementary and Secondary Institutions ,Private,2000,
Greece,Elementary and Secondary Institutions ,Private,2000,
Hungary,Elementary and Secondary Institutions ,Private,2000,
Iceland,Elementary and Secondary Institutions ,Private,2000,
Ireland,Elementary and Secondary Institutions ,Private,2000,
Israel,Elementary and Secondary Institutions ,Private,2000,
Italy,Elementary and Secondary Institutions ,Private,2000,
Japan,Elementary and Secondary Institutions ,Private,2000,
"Korea, Republic of",Elementary and Secondary Institutions ,Private,2000,
Luxembourg,Elementary and Secondary Institutions ,Private,2000,
Mexico,Elementary and Secondary Institutions ,Private,2000,
Netherlands,Elementary and Secondary Institutions ,Private,2000,
New Zealand,Elementary and Secondary Institutions ,Private,2000,
Norway,Elementary and Secondary Institutions ,Private,2000,
Poland,Elementary and Secondary Institutions ,Private,2000,
Portugal,Elementary and Secondary Institutions ,Private,2000,
Slovak Republic,Elementary and Secondary Institutions ,Private,2000,
Slovenia,Elementary and Secondary Institutions ,Private,2000,
Spain,Elementary and Secondary Institutions ,Private,2000,
Sweden,Elementary and Secondary Institutions ,Private,2000,
Switzerland,Elementary and Secondary Institutions ,Private,2000,
Turkey,Elementary and Secondary Institutions ,Private,2000,
United Kingdom,Elementary and Secondary Institutions ,Private,2000,
United States,Elementary and Secondary Institutions ,Private,2000,
  Brazil,Elementary and Secondary Institutions ,Private,2000,
  Russian Federation,Elementary and Secondary Institutions ,Private,2000,
OECD Average,Higher Education Institutions ,Private,2000,
Australia,Higher Education Institutions ,Private,2000,
Austria,Higher Education Institutions ,Private,2000,
Belgium,Higher Education Institutions ,Private,2000,
Canada,Higher Education Institutions ,Private,2000,
Chile,Higher Education Institutions ,Private,2000,
Czech Republic,Higher Education Institutions ,Private,2000,
Denmark,Higher Education Institutions ,Private,2000,
Estonia,Higher Education Institutions ,Private,2000,
Finland,Higher Education Institutions ,Private,2000,
France,Higher Education Institutions ,Private,2000,
Germany,Higher Education Institutions ,Private,2000,
Greece,Higher Education Institutions ,Private,2000,
Hungary,Higher Education Institutions ,Private,2000,
Iceland,Higher Education Institutions ,Private,2000,
Ireland,Higher Education Institutions ,Private,2000,
Israel,Higher Education Institutions ,Private,2000,
Italy,Higher Education Institutions ,Private,2000,
Japan,Higher Education Institutions ,Private,2000,
"Korea, Republic of",Higher Education Institutions ,Private,2000,
Luxembourg,Higher Education Institutions ,Private,2000,
Mexico,Higher Education Institutions ,Private,2000,
Netherlands,Higher Education Institutions ,Private,2000,
New Zealand,Higher Education Institutions ,Private,2000,
Norway,Higher Education Institutions ,Private,2000,
Poland,Higher Education Institutions ,Private,2000,
Portugal,Higher Education Institutions ,Private,2000,
Slovak Republic,Higher Education Institutions ,Private,2000,
Slovenia,Higher Education Institutions ,Private,2000,
Spain,Higher Education Institutions ,Private,2000,
Sweden,Higher Education Institutions ,Private,2000,
Switzerland,Higher Education Institutions ,Private,2000,
Turkey,Higher Education Institutions ,Private,2000,
United Kingdom,Higher Education Institutions ,Private,2000,
United States,Higher Education Institutions ,Private,2000,
  Brazil,Higher Education Institutions ,Private,2000,
  Russian Federation,Higher Education Institutions ,Private,2000,
OECD Average,All Institutions ,Total,2000,
Australia,All Institutions ,Total,2000,
Austria,All Institutions ,Total,2000,
Belgium,All Institutions ,Total,2000,
Canada,All Institutions ,Total,2000,
Chile,All Institutions ,Total,2000,
Czech Republic,All Institutions ,Total,2000,
Denmark,All Institutions ,Total,2000,
Estonia,All Institutions ,Total,2000,
Finland,All Institutions ,Total,2000,
France,All Institutions ,Total,2000,
Germany,All Institutions ,Total,2000,
Greece,All Institutions ,Total,2000,
Hungary,All Institutions ,Total,2000,
Iceland,All Institutions ,Total,2000,
Ireland,All Institutions ,Total,2000,
Israel,All Institutions ,Total,2000,
Italy,All Institutions ,Total,2000,
Japan,All Institutions ,Total,2000,
"Korea, Republic of",All Institutions ,Total,2000,
Luxembourg,All Institutions ,Total,2000,
Mexico,All Institutions ,Total,2000,
Netherlands,All Institutions ,Total,2000,
New Zealand,All Institutions ,Total,2000,
Norway,All Institutions ,Total,2000,
Poland,All Institutions ,Total,2000,
Portugal,All Institutions ,Total,2000,
Slovak Republic,All Institutions ,Total,2000,
